state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL,Deaths,Negative tests,Positive Tests,Total Tests,
MA,2020-08-20,1213,1213,1213,52.33,52.33,52.33,2318,2318,2318,8888,1393794,124728,2009062,
MD,2020-08-20,1082,1074,1091,68.61,67.01,70.22,1578,1568,1587,3669,1085447,102229,1693571,
ME,2020-08-20,266,266,267,71.07,70.92,71.21,375,375,375,128,215932,4253,220185,
MI,2020-08-20,2431,2427,2436,74.15,73.66,74.63,3279,3272,3286,6634,2321084,104618,2425702,
MN,2020-08-20,1073,1058,1088,70.92,68.62,73.22,1513,1512,1514,1791,962785,67308,1322220,
MO,2020-08-20,1640,1640,1640,59.48,59.48,59.48,2757,2757,2757,1417,814141,71733,1172659,
MS,2020-08-20,753,753,753,73.9,73.84,73.95,1019,1019,1019,2190,452177,75449,527626,
MT,2020-08-20,134,130,138,62.67,57.65,67.69,214,213,215,89,201488,6072,207560,
NC,2020-08-20,1551,1542,1560,73.86,72.23,75.49,2100,2084,2116,2465,1853403,149904,2003307,
ND,2020-08-20,190,185,194,38.21,33.8,42.61,496,483,509,134,175545,9227,401757,
NE,2020-08-20,511,499,522,57.9,53.45,62.35,882,866,898,371,299368,31040,430546,
NH,2020-08-20,185,185,185,53.01,53.01,53.01,349,349,349,428,182632,7050,290010,
NJ,2020-08-20,1275,1264,1286,53.3,51.74,54.87,2392,2376,2408,15884,2396680,191562,2588242,
NM,2020-08-20,352,344,359,64.38,58.45,70.3,546,530,562,734,670873,23951,694824,
NV,2020-08-20,798,798,798,70.43,70.43,70.43,1133,1133,1133,1172,497379,63584,775720,
NY,2020-08-20,4717,4620,4814,59.24,55.21,63.27,7962,7835,8090,25275,6925584,427803,7353387,
OH,2020-08-20,3041,3027,3055,61.65,60.73,62.57,4933,4916,4950,3929,1877517,112003,1989520,
OK,2020-08-20,1080,1027,1133,62.9,51.56,74.24,1717,1628,1806,709,740225,50669,790894,
OR,2020-08-20,467,446,488,75.29,67.36,83.22,620,619,621,408,477286,23870,763954,
PA,2020-08-20,3485,3442,3528,73.2,70.31,76.09,4761,4707,4815,7538,1386071,126940,1513011,
RI,2020-08-20,211,211,211,88.66,88.66,88.66,238,238,238,1028,218892,20871,444574,
SC,2020-08-20,1146,1146,1146,77.91,77.91,77.91,1471,1471,1471,2401,783480,109320,892800,
SD,2020-08-20,141,141,141,49.13,49.13,49.13,287,287,287,157,121417,10691,132108,
TN,2020-08-20,2072,2071,2073,70.33,70.14,70.52,2946,2946,2946,1488,1812928,139175,1952103,
TX,2020-08-20,6654,6628,6681,81.35,80.26,82.44,8180,8143,8217,10793,4543927,562559,5106486,
UT,2020-08-20,590,590,590,57.56,57.56,57.56,1025,1025,1025,381,567637,47982,760456,
VA,2020-08-20,1452,1414,1490,66.21,59.93,72.49,2193,2142,2244,2427,1308453,109882,1418335,
VT,2020-08-20,28,25,31,49.12,29.27,68.98,57,53,61,58,112882,1536,152759,
WA,2020-08-20,1058,1022,1094,90.36,83.93,96.78,1171,1170,1172,1822,1285763,71105,1356868,
WI,2020-08-20,1038,1022,1054,52.68,50.41,54.95,1970,1967,1973,1074,1093294,72903,1571354,
WV,2020-08-20,586,583,589,72.26,71.15,73.36,811,808,814,166,368731,8982,377713,
WY,2020-08-20,44,44,44,37.93,37.56,38.3,116,116,116,34,60706,3468,110081,
AK,2020-08-21,135,135,135,51.92,51.59,52.26,260,259,261,30,316931,4604,321535,
AL,2020-08-21,1633,1629,1636,86.61,86.12,87.11,1885,1882,1888,1990,784330,112770,891813,
AR,2020-08-21,921,919,923,68.83,68.33,69.34,1338,1335,1341,663,602939,55652,658591,
AZ,2020-08-21,1342,1331,1353,66.07,64.36,67.78,2032,2019,2045,4688,931089,196899,1628519,
CA,2020-08-21,6380,6358,6402,70.12,69.25,70.98,9099,9065,9134,11821,9679036,650336,10329372,
CO,2020-08-21,794,782,806,58.56,55.22,61.91,1355,1335,1375,1910,594857,54586,918926,
CT,2020-08-21,629,629,629,48.16,48.16,48.16,1306,1306,1306,4460,970851,51519,1022370,
DC,2020-08-21,407,402,411,77.76,74.96,80.56,523,517,529,602,245589,13469,259058,
DE,2020-08-21,183,183,183,70.93,70.93,70.93,258,258,258,600,201238,16770,310771,
FL,2020-08-21,5418,5415,5421,76.29,76.15,76.43,7102,7099,7106,10304,3773926,587023,5830583,
GA,2020-08-21,2052,2047,2058,75.24,74.61,75.87,2728,2721,2735,4998,1870472,249630,2120102,
HI,2020-08-21,172,172,172,60.56,60.56,60.56,284,284,284,45,162828,5844,215251,
IA,2020-08-21,673,667,679,66.05,63.41,68.68,1019,1005,1033,1021,518133,55006,573139,
ID,2020-08-21,244,244,244,50.83,50.83,50.83,480,480,480,298,204660,29120,231799,
IL,2020-08-21,2569,2563,2574,53.49,53.1,53.87,4803,4796,4810,8066,3376990,217346,3594336,
IN,2020-08-21,1727,1717,1737,62.53,61.12,63.94,2762,2746,2778,3208,874115,84317,1370254,
KS,2020-08-21,597,592,602,61.1,59.55,62.64,977,973,981,419,329459,36856,366315,
KY,2020-08-21,1376,1374,1378,77.75,77.06,78.45,1770,1764,1776,864,703005,42265,745270,
LA,2020-08-21,1698,1698,1698,69,68.99,69,2461,2461,2461,4687,1597087,141720,1738807,
MA,2020-08-21,1202,1202,1202,51.48,51.48,51.48,2335,2335,2335,8901,1420121,125216,2050871,
MD,2020-08-21,1061,1060,1062,66.47,66.3,66.64,1596,1595,1597,3674,1101368,102899,1722957,
ME,2020-08-21,261,260,262,69.23,68.17,70.3,377,375,379,129,219580,4285,223865,
MI,2020-08-21,2431,2427,2435,74.23,73.76,74.69,3275,3268,3282,6634,2321084,104618,2425702,
MN,2020-08-21,1087,1078,1096,73.24,71.82,74.66,1484,1482,1485,1799,973404,68133,1340850,
MO,2020-08-21,1648,1643,1654,59.77,59.15,60.39,2758,2751,2765,1419,823142,72964,1185535,
MS,2020-08-21,747,742,752,73.94,72.24,75.63,1010,1003,1017,2214,453479,76323,529802,
MT,2020-08-21,133,126,140,61.38,51.08,71.68,217,209,225,89,202411,6216,208627,
NC,2020-08-21,1552,1543,1561,72.97,71.11,74.82,2127,2110,2144,2494,1878973,151912,2030885,
ND,2020-08-21,172,167,177,34.68,30.29,39.07,496,483,509,136,177538,9458,408284,
NE,2020-08-21,489,478,501,55.14,50.68,59.6,887,871,903,373,302419,31348,434967,
NH,2020-08-21,187,187,187,53.58,53.58,53.58,349,349,349,428,182632,7050,290010,
NJ,2020-08-21,1290,1279,1300,53.73,51.8,55.66,2400,2376,2424,15893,2426875,191887,2618762,
NM,2020-08-21,341,333,349,62.47,56.39,68.55,545,529,562,739,680860,24095,704955,
NV,2020-08-21,842,842,842,74.05,74.05,74.05,1137,1137,1137,1185,501878,64433,782167,
NY,2020-08-21,4880,4783,4978,61.45,57.36,65.55,7941,7812,8071,25278,7023755,428512,7452267,
OH,2020-08-21,3103,3087,3119,63.06,61.93,64.19,4920,4896,4944,3955,1904405,113046,2017451,
OK,2020-08-21,1055,1002,1108,61.73,50.34,73.13,1709,1620,1798,715,749156,51746,800902,
OR,2020-08-21,459,435,482,74.46,63.92,85,616,596,636,412,482202,24165,772344,
PA,2020-08-21,3494,3416,3572,77.03,71.75,82.32,4536,4445,4627,7558,1399509,127633,1527142,
RI,2020-08-21,209,209,209,87.45,87.45,87.45,239,239,239,1030,224832,21022,454977,
SC,2020-08-21,1121,1121,1121,76.31,76.31,76.31,1469,1469,1469,2459,792803,110378,903181,
SD,2020-08-21,144,144,145,50.35,50.01,50.68,287,286,288,159,122891,10884,133775,
TN,2020-08-21,2089,2063,2114,70.85,68.37,73.34,2948,2936,2960,1549,1840394,140844,1981238,
TX,2020-08-21,6727,6540,6914,81.8,75.13,88.47,8223,8024,8422,11051,4587490,567580,5155070,
UT,2020-08-21,583,583,583,56.99,56.99,56.99,1023,1023,1023,383,571266,48445,765911,
VA,2020-08-21,1473,1435,1511,67.26,61.21,73.31,2190,2139,2241,2436,1326418,110860,1437278,
VT,2020-08-21,26,26,26,45.61,41.04,50.19,57,56,58,58,114221,1540,154874,
WA,2020-08-21,1058,1022,1094,90.87,84.26,97.49,1164,1158,1170,1837,1297531,71733,1369264,
WI,2020-08-21,1042,1027,1058,53.08,50.32,55.84,1964,1940,1988,1075,1103038,73751,1589087,
WV,2020-08-21,566,563,569,70.14,69.02,71.25,807,804,810,170,375253,9066,384319,
WY,2020-08-21,52,52,52,42.28,40.04,44.51,123,121,125,37,61313,3524,110930,
AK,2020-08-22,131,131,131,50.38,50.06,50.71,260,259,261,31,321595,4692,326287,
AL,2020-08-22,1635,1615,1655,85.92,82.77,89.06,1903,1881,1925,2011,801750,114532,911316,
AR,2020-08-22,920,898,942,69.54,65.38,73.7,1323,1314,1332,674,602939,56199,658591,
AZ,2020-08-22,1295,1270,1321,63.87,59.39,68.36,2028,1987,2069,4756,946239,197895,1644455,
CA,2020-08-22,6324,6303,6345,69.4,68.55,70.25,9112,9077,9147,11988,9779460,656892,10436352,
CO,2020-08-22,766,749,782,56.58,52.29,60.87,1354,1328,1379,1918,594857,54883,930152,
CT,2020-08-22,617,617,617,47.24,47.24,47.24,1306,1306,1306,4460,970851,51519,1022370,
DC,2020-08-22,404,400,409,76.29,73.52,79.06,530,524,536,604,248906,13534,262440,
DE,2020-08-22,184,184,184,71.32,71.32,71.32,258,258,258,600,203048,16828,314165,
FL,2020-08-22,5332,5310,5355,75.34,74.31,76.37,7078,7048,7108,10411,3804250,591283,5915679,
GA,2020-08-22,2001,1992,2011,73.66,72.58,74.73,2717,2706,2728,5092,1896948,252222,2149170,
HI,2020-08-22,187,187,187,66.08,66.08,66.08,283,283,283,46,167478,6072,219057,
IA,2020-08-22,637,631,643,62.57,59.96,65.18,1018,1004,1032,1031,522620,55735,578355,
ID,2020-08-22,232,231,232,48.4,47.87,48.93,479,478,479,304,206484,29369,233855,
IL,2020-08-22,2514,2502,2525,52.55,51.6,53.5,4784,4761,4806,8083,3431400,219702,3651102,
IN,2020-08-22,1615,1605,1625,58.78,57.21,60.35,2748,2732,2764,3218,884329,85317,1394044,
KS,2020-08-22,588,550,626,60.15,48.19,72.12,978,937,1018,419,329459,36856,366315,
KY,2020-08-22,1387,1378,1396,79.3,77.75,80.86,1749,1738,1760,864,703005,42265,745270,
LA,2020-08-22,1654,1654,1655,67.02,66.91,67.13,2468,2467,2470,4687,1597087,141720,1738807,
MA,2020-08-22,1188,1187,1189,51.07,50.91,51.23,2326,2325,2327,8921,1428313,125360,2064529,
MD,2020-08-22,1079,1025,1132,67.92,57.26,78.59,1588,1522,1654,3685,1116918,103523,1751515,
ME,2020-08-22,260,253,267,69.31,61.96,76.66,375,362,388,130,223434,4317,227751,
MI,2020-08-22,2404,2388,2420,73.36,71.79,74.94,3277,3256,3298,6655,2352995,106044,2459039,
MN,2020-08-22,1069,1066,1072,70.87,70.03,71.72,1508,1502,1515,1807,982389,68867,1357595,
MO,2020-08-22,1590,1582,1598,57.69,56.93,58.44,2756,2754,2758,1425,830437,74257,1196542,
MS,2020-08-22,724,715,732,71.99,69.25,74.73,1005,994,1016,2237,456354,77268,533622,
MT,2020-08-22,133,123,142,60.9,43.97,77.84,218,200,236,90,203340,6376,209716,
NC,2020-08-22,1487,1477,1496,70.82,68.93,72.7,2099,2082,2117,2521,1898477,153641,2052118,
ND,2020-08-22,185,180,190,37.3,32.91,41.69,496,483,509,136,179302,9714,414907,
NE,2020-08-22,457,444,469,52.43,47.51,57.35,871,853,889,376,304956,31626,438898,
NH,2020-08-22,177,176,178,50.72,49.11,52.32,349,346,352,429,187583,7092,298850,
NJ,2020-08-22,1284,1273,1295,53.59,52.03,55.15,2396,2380,2412,15895,2459504,192346,2651850,
NM,2020-08-22,326,316,336,60.44,53.24,67.64,539,521,558,743,688019,24302,712321,
NV,2020-08-22,906,906,906,79.61,79.61,79.61,1138,1138,1138,1197,505057,65069,788799,
NY,2020-08-22,4738,4638,4839,59.81,55.6,64.03,7922,7788,8056,25282,7117951,429165,7547116,
OH,2020-08-22,3033,3000,3066,62.55,59.69,65.4,4849,4779,4919,3975,1933299,114165,2047464,
OK,2020-08-22,1026,973,1079,60.04,48.64,71.43,1709,1620,1798,725,759335,52599,811934,
OR,2020-08-22,456,433,478,74.35,65.35,83.35,613,603,623,414,486900,24421,782690,
PA,2020-08-22,3466,3395,3537,76.27,71.29,81.25,4544,4454,4634,7576,1412124,128429,1540553,
RI,2020-08-22,202,202,202,83.13,83.13,83.13,243,243,243,1035,228951,21175,464672,
SC,2020-08-22,1072,1071,1073,72.93,72.93,72.93,1470,1470,1470,2493,800837,111295,912132,
SD,2020-08-22,132,131,133,46.11,44.47,47.75,287,284,290,160,124495,11135,135630,
TN,2020-08-22,2003,1959,2046,67.72,62.36,73.09,2957,2957,2957,1563,1865677,142083,2007760,
TX,2020-08-22,6279,6251,6307,80.09,78.82,81.35,7840,7798,7883,11266,4625948,573139,5199087,
UT,2020-08-22,602,601,602,58.76,58.3,59.22,1024,1021,1027,385,576176,48814,773059,
VA,2020-08-22,1394,1333,1456,64.5,55.12,73.89,2161,2081,2242,2443,1341599,112072,1453671,
VT,2020-08-22,32,29,35,56.14,39.21,73.07,57,53,61,58,115739,1551,157618,
WA,2020-08-22,1050,1014,1087,89.63,82.81,96.44,1172,1161,1183,1850,1304291,72242,1376533,
WI,2020-08-22,1016,1006,1026,52.76,50.87,54.65,1926,1909,1943,1089,1110788,74726,1605324,
WV,2020-08-22,550,547,553,67.9,66.78,69.02,810,807,813,176,382673,9185,391858,
WY,2020-08-22,44,43,44,38.84,36.12,41.56,112,110,114,37,61313,3543,111180,
AK,2020-08-23,134,134,134,51.54,51.21,51.87,260,259,261,32,322682,4758,327440,
AL,2020-08-23,1641,1621,1661,87.29,84.11,90.47,1880,1858,1902,2013,806609,115060,916703,
AR,2020-08-23,904,865,943,68.51,58.66,78.36,1320,1265,1374,687,609126,56574,670826,
AZ,2020-08-23,1256,1231,1281,62.36,57.9,66.82,2014,1973,2054,4771,952766,198103,1652279,
CA,2020-08-23,6152,6126,6177,67.79,66.8,68.78,9074,9035,9114,12134,9877362,663669,10541031,
CO,2020-08-23,744,728,761,55.09,50.77,59.41,1351,1326,1376,1918,594857,55143,938596,
CT,2020-08-23,601,601,601,46.02,46.02,46.02,1306,1306,1306,4460,970851,51519,1022370,
DC,2020-08-23,402,402,402,79.92,79.92,79.92,503,503,503,604,252456,13590,266046,
DE,2020-08-23,181,181,181,70.16,70.16,70.16,258,258,258,600,204950,16895,317458,
FL,2020-08-23,5177,5164,5190,73.01,72.44,73.57,7091,7076,7106,10462,3828062,594287,5968059,
GA,2020-08-23,1982,1968,1997,73.62,71.91,75.34,2693,2676,2710,5132,1917935,253949,2171884,
HI,2020-08-23,182,182,182,64.54,64.54,64.54,282,282,282,47,169828,6356,223447,
IA,2020-08-23,624,618,630,61.18,58.58,63.78,1020,1006,1034,1036,525701,56275,581976,
ID,2020-08-23,236,236,237,49.41,48.86,49.95,478,478,479,306,207618,29662,235255,
IL,2020-08-23,2476,2463,2489,51.59,50.54,52.64,4800,4775,4824,8089,3483858,221595,3705453,
IN,2020-08-23,1546,1535,1557,56.33,54.84,57.81,2745,2727,2763,3220,891870,85932,1403132,
KS,2020-08-23,569,531,608,58.19,46.13,70.25,978,938,1019,419,329459,36856,366315,
KY,2020-08-23,1323,1316,1329,75.63,74.34,76.92,1749,1739,1759,881,701741,43529,745270,
LA,2020-08-23,1605,1603,1607,65.13,64.91,65.34,2465,2463,2466,4746,1620895,142943,1763838,
MA,2020-08-23,1136,1132,1139,48.75,47.76,49.75,2329,2317,2341,8921,1428313,125360,2064529,
MD,2020-08-23,1054,1001,1107,66.89,56.12,77.65,1576,1510,1642,3691,1128794,104102,1772656,
ME,2020-08-23,245,238,252,64.6,57.35,71.85,379,366,392,131,227366,4335,231701,
MI,2020-08-23,2301,2291,2310,71.36,70.29,72.43,3224,3209,3239,6659,2426664,106808,2533472,
MN,2020-08-23,1015,993,1038,68.42,63.79,73.04,1484,1459,1509,1813,990736,69584,1374536,
MO,2020-08-23,1568,1560,1576,56.88,56.14,57.62,2757,2755,2759,1426,839758,75075,1218097,
MS,2020-08-23,721,715,727,72.27,70.37,74.17,998,990,1006,2240,456354,77894,534248,
MT,2020-08-23,129,115,143,59.61,37.26,81.95,217,196,238,90,204320,6429,210749,
NC,2020-08-23,1549,1540,1558,73.43,71.73,75.14,2109,2092,2126,2531,1923359,155113,2078472,
ND,2020-08-23,182,177,187,36.69,32.31,41.08,496,483,509,140,181009,9852,419309,
NE,2020-08-23,455,442,467,52.15,47.21,57.08,872,854,890,376,306581,31780,441586,
NH,2020-08-23,172,172,172,49.28,48.72,49.85,349,348,350,429,188957,7107,301316,
NJ,2020-08-23,1237,1178,1296,51.65,43.01,60.28,2395,2309,2481,15898,2459504,192628,2652132,
NM,2020-08-23,315,307,323,59.02,52.92,65.12,533,517,550,745,694904,24396,719300,
NV,2020-08-23,880,880,880,77.53,77.53,77.53,1135,1135,1135,1197,508628,65601,792578,
NY,2020-08-23,4559,4447,4671,57.01,52.18,61.85,7996,7836,8156,25288,7191422,429737,7621159,
OH,2020-08-23,2888,2859,2917,60.33,57.7,62.96,4787,4721,4853,3978,1958964,114802,2073766,
OK,2020-08-23,1027,972,1082,60.2,48.49,71.9,1706,1615,1797,726,759335,53165,812500,
OR,2020-08-23,448,426,471,74.36,65.21,83.5,603,593,613,417,491754,24710,791645,
PA,2020-08-23,3412,3368,3455,75.62,72.49,78.75,4512,4454,4569,7578,1423972,129048,1553020,
RI,2020-08-23,197,197,197,79.76,79.76,79.76,247,247,247,1035,231308,21263,470162,
SC,2020-08-23,1046,1046,1046,71.4,71.4,71.4,1465,1465,1465,2504,780348,111988,892336,
SD,2020-08-23,135,128,142,46.92,38.43,55.42,287,277,297,161,125484,11276,136760,
TN,2020-08-23,2013,1988,2039,67.79,65.69,69.89,2970,2970,2970,1567,1901256,143937,2045193,
TX,2020-08-23,6074,6032,6115,79.41,77.74,81.09,7648,7599,7698,11370,4639538,577537,5217075,
UT,2020-08-23,585,585,586,56.88,56.44,57.33,1029,1026,1032,385,579358,49115,777987,
VA,2020-08-23,1382,1322,1442,62.96,54.01,71.91,2195,2116,2274,2467,1353067,112966,1466033,
VT,2020-08-23,34,31,37,59.65,42.79,76.51,57,53,61,58,117075,1556,159766,
WA,2020-08-23,1048,1011,1085,90.04,83.19,96.89,1164,1153,1175,1857,1306243,72793,1379036,
WI,2020-08-23,963,949,977,49.4,47.02,51.77,1949,1933,1965,1089,1115149,75205,1616301,
WV,2020-08-23,528,525,531,65.19,64.06,66.31,810,807,813,178,386921,9272,396193,
WY,2020-08-23,43,43,43,37.39,37.02,37.76,115,115,115,37,61313,3579,111438,
AK,2020-08-24,128,128,128,49.23,48.91,49.56,260,259,261,32,325674,4829,330503,
AL,2020-08-24,1580,1559,1600,84.01,80.79,87.23,1880,1858,1902,2024,806609,116710,916364,
AR,2020-08-24,918,918,918,68.87,68.65,69.08,1333,1332,1334,696,616810,56894,673704,
AZ,2020-08-24,1233,1222,1244,62.1,60.36,63.84,1986,1973,1999,4771,958808,198414,1658513,
CA,2020-08-24,6090,6048,6132,67.08,65.15,69.02,9078,8992,9165,12152,9983872,668615,10652487,
CO,2020-08-24,747,745,749,55.21,54.56,55.86,1353,1352,1354,1919,594857,55341,947645,
CT,2020-08-24,583,583,583,44.64,44.64,44.64,1306,1306,1306,4460,1025705,52011,1077716,
DC,2020-08-24,383,383,383,76.14,76.14,76.14,503,503,503,604,255762,13639,269401,
DE,2020-08-24,183,183,183,70.93,70.93,70.93,258,258,258,604,206559,16942,321652,
FL,2020-08-24,5181,5180,5182,73.5,73.46,73.54,7049,7048,7050,10534,3844327,596511,6007222,
GA,2020-08-24,1992,1981,2004,73.41,72.05,74.78,2714,2700,2728,5156,1948928,256253,2205181,
HI,2020-08-24,190,190,190,65.29,65.29,65.29,291,291,291,47,172224,6600,227288,
IA,2020-08-24,638,631,646,62.97,60,65.93,1014,999,1029,1044,527465,56633,584098,
ID,2020-08-24,260,260,260,52.85,52.85,52.85,492,492,492,307,208732,29853,236547,
IL,2020-08-24,2512,2507,2518,52.25,51.88,52.62,4808,4801,4816,8097,3518401,223207,3741608,
IN,2020-08-24,1603,1593,1613,58.83,57.4,60.25,2725,2709,2741,3225,914446,87592,1409869,
KS,2020-08-24,586,581,591,59.8,58.45,61.15,980,980,980,426,348556,38401,386957,
KY,2020-08-24,1330,1323,1338,75.17,73.6,76.74,1770,1757,1783,885,720159,43899,764058,
LA,2020-08-24,1601,1590,1612,66.06,64.66,67.47,2424,2411,2436,4764,1628915,143566,1772481,
MA,2020-08-24,1145,1143,1147,49.16,48.89,49.44,2329,2329,2329,8948,1465557,126022,2122991,
MD,2020-08-24,1062,1051,1073,67.15,65.04,69.26,1582,1570,1593,3694,1142924,104669,1794703,
ME,2020-08-24,237,229,244,62.97,55.7,70.23,376,363,389,131,230500,4356,234856,
MI,2020-08-24,2351,2348,2354,73,72.6,73.4,3220,3214,3226,6663,2447208,107686,2554894,
MN,2020-08-24,1030,1030,1030,69.93,69.7,70.15,1473,1471,1475,1817,997512,70298,1386513,
MO,2020-08-24,1542,1541,1543,55.95,55.9,56,2756,2756,2756,1426,843768,75944,1214456,
MS,2020-08-24,720,719,721,71.71,71.33,72.09,1004,1002,1006,2248,464257,78405,542662,
MT,2020-08-24,132,128,136,61.08,56.07,66.09,216,215,217,91,227184,6489,233673,
NC,2020-08-24,1504,1495,1512,72.88,71.2,74.55,2063,2047,2079,2535,1931299,156396,2087695,
ND,2020-08-24,189,184,194,38.1,33.72,42.49,496,483,509,140,182018,9978,421705,
NE,2020-08-24,480,468,492,54.95,50.31,59.58,874,857,891,378,307711,31889,443525,
NH,2020-08-24,167,167,167,47.85,47.85,47.85,349,349,349,429,191095,7134,304499,
NJ,2020-08-24,1254,1195,1313,52.36,43.74,60.98,2395,2309,2481,15901,2487093,192886,2679979,
NM,2020-08-24,323,314,333,60.73,53.87,67.59,533,515,550,747,699332,24469,723801,
NV,2020-08-24,792,792,792,70.09,70.09,70.09,1130,1130,1130,1200,510667,66010,794147,
NY,2020-08-24,4499,4402,4596,56.31,52.25,60.37,7989,7861,8117,25295,7253045,430145,7683190,
OH,2020-08-24,2840,2836,2845,60.37,60.13,60.62,4705,4705,4705,3986,1985340,115651,2100991,
OK,2020-08-24,1034,981,1087,60.68,49.31,72.05,1704,1616,1792,730,759335,53522,812857,
OR,2020-08-24,437,415,459,73.07,64.41,81.73,598,592,604,417,494883,24937,796886,
PA,2020-08-24,3311,3271,3351,73.97,71.11,76.84,4476,4425,4527,7579,1433364,129474,1562838,
RI,2020-08-24,198,198,198,80.16,80.16,80.16,247,247,247,1035,233372,21302,473670,
SC,2020-08-24,1065,1065,1065,72.95,72.95,72.95,1460,1460,1460,2511,783926,112551,896477,
SD,2020-08-24,137,137,137,47.74,47.74,47.74,287,287,287,161,126038,11425,137463,
TN,2020-08-24,2031,2006,2057,68.88,66.69,71.07,2949,2949,2949,1588,1914750,144604,2059354,
TX,2020-08-24,6081,6053,6109,78.76,77.57,79.95,7721,7684,7759,11395,4651361,580384,5231745,
UT,2020-08-24,557,557,557,54.93,54.93,54.93,1014,1014,1014,390,581933,49364,782184,
VA,2020-08-24,1386,1311,1461,63.27,51.86,74.69,2191,2097,2285,2471,1365487,113630,1479117,
VT,2020-08-24,33,33,33,57.89,51.21,64.58,57,56,58,58,118415,1564,162323,
WA,2020-08-24,1011,976,1047,86.57,79.88,93.27,1168,1162,1174,1863,1306983,73067,1380050,
WI,2020-08-24,960,957,963,50.02,49.47,50.56,1919,1914,1924,1089,1119622,75619,1629764,
WV,2020-08-24,546,543,549,69.73,68.58,70.89,783,780,786,179,389342,9312,398654,
WY,2020-08-24,50,50,50,42.37,41.99,42.76,118,118,118,37,62419,3603,113089,
AK,2020-08-25,144,144,144,55.38,55.03,55.74,260,259,261,36,328969,4862,333831,
AL,2020-08-25,1649,1629,1670,86.78,83.58,89.98,1901,1879,1923,2037,810035,117242,920989,
AR,2020-08-25,923,917,929,69.35,68.19,70.5,1331,1329,1333,711,616810,57374,673704,
AZ,2020-08-25,1272,1272,1272,63.28,63.19,63.38,2010,2009,2011,4792,962931,199273,1676568,
CA,2020-08-25,6294,6284,6304,68.91,68.48,69.33,9134,9121,9147,12257,10089411,673095,10762506,
CO,2020-08-25,760,749,772,55.92,53.26,58.58,1360,1347,1373,1926,626261,55800,955641,
CT,2020-08-25,620,620,620,47.47,47.47,47.47,1306,1306,1306,4463,1030666,52040,1082706,
DC,2020-08-25,415,415,415,73.98,73.98,73.98,561,561,561,604,257938,13684,271622,
DE,2020-08-25,197,197,197,76.36,76.36,76.36,258,258,258,603,208366,16962,322926,
FL,2020-08-25,5282,5276,5287,74.63,74.39,74.87,7077,7071,7083,10717,3861022,599176,6043455,
GA,2020-08-25,1968,1952,1983,72.64,70.91,74.37,2708,2691,2726,5262,1972496,258354,2230850,
HI,2020-08-25,199,199,199,67.46,67.46,67.46,295,295,295,49,173866,6984,230375,
IA,2020-08-25,657,651,663,64.79,62.15,67.44,1014,1000,1028,1052,530449,57294,587743,
ID,2020-08-25,258,258,258,52.44,52.44,52.44,492,492,492,314,210025,30070,238014,
IL,2020-08-25,2631,2628,2634,54.65,54.4,54.91,4814,4808,4820,8126,3557580,224887,3782467,
IN,2020-08-25,1724,1714,1733,62.88,61.6,64.15,2741,2725,2757,3241,922560,88421,1431571,
KS,2020-08-25,613,604,622,62.49,59.25,65.72,981,968,994,426,348556,38401,386957,
KY,2020-08-25,1340,1338,1343,75.61,74.81,76.41,1773,1766,1780,895,727386,44568,771954,
LA,2020-08-25,1634,1634,1634,66.88,66.88,66.89,2443,2443,2443,4797,1649946,144116,1794062,
MA,2020-08-25,1183,1183,1183,50.75,50.75,50.75,2331,2331,2331,8960,1487982,126420,2157864,
MD,2020-08-25,1134,1127,1140,70.98,69.68,72.28,1597,1589,1605,3707,1150519,105046,1807573,
ME,2020-08-25,258,258,258,68.62,68.62,68.62,376,376,376,131,233006,4368,237374,
MI,2020-08-25,2441,2439,2443,75.34,75.09,75.59,3240,3236,3244,6684,2470538,108637,2579175,
MN,2020-08-25,1066,1061,1070,71.61,70.49,72.72,1488,1480,1496,1825,1001819,70707,1394986,
MO,2020-08-25,1648,1642,1653,59.72,59.11,60.34,2758,2752,2765,1440,847442,76636,1223471,
MS,2020-08-25,734,734,734,72.82,72.76,72.87,1008,1008,1008,2315,468055,79206,547261,
MT,2020-08-25,134,134,134,62.62,61.37,63.86,214,213,215,97,229883,6624,236507,
NC,2020-08-25,1522,1513,1530,73.29,71.64,74.94,2076,2060,2092,2570,1944618,157741,2102359,
ND,2020-08-25,196,181,212,39.62,29.14,50.09,496,483,509,142,183370,10211,424792,
NE,2020-08-25,489,477,501,56.01,51.38,60.65,873,856,890,383,308434,32047,449299,
NH,2020-08-25,182,181,182,52.01,52.01,52.01,349,349,349,429,192721,7150,307293,
NJ,2020-08-25,1283,1224,1342,53.57,44.98,62.16,2395,2309,2481,15905,2507874,193241,2701115,
NM,2020-08-25,303,296,311,56.88,50.91,62.85,533,517,549,750,704092,24535,728627,
NV,2020-08-25,820,820,820,72.06,72.06,72.06,1138,1138,1138,1230,512869,66413,799765,
NY,2020-08-25,4740,4644,4837,59.07,55.05,63.08,8026,7898,8154,25297,7319671,430774,7750445,
OH,2020-08-25,3014,3002,3027,63.93,63.01,64.86,4715,4695,4735,3996,2008457,116495,2124952,
OK,2020-08-25,1032,979,1085,60.6,49.22,71.98,1703,1615,1791,744,776659,54172,830831,
